cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
831641.0,GV_024783,24783,TTEK,USA,TETRA TECH INC,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services,8711,541620,Environmental Consulting Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Tetra Tech, Inc. provides consulting and engineering services worldwide.",9,0.0015079542011343094,0.05627034497538129,0.1618618039492993,-0.14272447131937505,0.1686341478656929
833640.0,GV_066032,66032,POWI,USA,POWER INTEGRATIONS INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Power Integrations, Inc. designs, develops, manufactures, and markets analog and mixed-signal integrated circuits (ICs), and other electronic components and circuitry used in high-voltage power conversion worldwide.",9,-0.1298992248052975,-0.16543460483913522,0.005057691662281745,-0.13222181427212337,0.09587289411607669
835729.0,GV_014650,14650,BMC,USA,BMC SOFTWARE INC,Information Technology,Software & Services,Software,Systems Software,7372,511210,Software Publishers,Information,Publishing Industries (except Internet),"BMC Software, Inc. develops software that provides system and service management solutions for enterprises in the United States and internationally.",9,-0.20057814792989925,0.09925586233289545,0.13219188319563271,-0.13601869128981045,-0.24794979869834297
836106.0,GV_014623,14623,NVLS.1,USA,NOVELLUS SYSTEMS INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3559,333295,"Etching equipment, semiconductor, manufacturing",Manufacturing,Machinery Manufacturing,"Novellus Systems, Inc., together with its subsidiaries, develops, manufactures, sells, and supports equipment used in the fabrication of integrated circuits.",9,-0.13156890568791357,-0.03842375365873918,0.0018287418509933613,-0.24411207829591794,-0.25673354698118434
850429.0,GV_015459,15459,TG,USA,TREDEGAR CORP,Materials,Materials,Chemicals,Commodity Chemicals,3081,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Manufacturing,Plastics and Rubber Products Manufacturing,"Tredegar Corporation, through its subsidiaries, manufactures and sells polyethylene (PE) plastic films, polyester films, and aluminum extrusions worldwide.",9,0.08582285901458464,0.20914493636978373,0.0742617374368933,-0.048837754575287357,-0.010292247426101681
850460.0,GV_025572,25572,WIRE,USA,ENCORE WIRE CORP,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment,3357,331420,"Copper Rolling, Drawing, Extruding, and Alloying",Manufacturing,Primary Metal Manufacturing,Encore Wire Corporation manufactures and sells electrical building wires and cables for interior electrical wiring in the United States.,9,-0.008930082231934698,0.1994885420166684,0.05594703851764511,-0.27218225424637255,-0.17768807290371746
854711.0,GV_025322,25322,FIF.1,USA,FINANCIAL FEDERAL CORP,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance,6159,522220,Sales Financing,Finance and Insurance,Credit Intermediation and Related Activities,"As of February 19, 2010, Financial Federal Corp. was acquired by People's United Financial Inc. Financial Federal Corp., a commercial finance company, provides lending, financing, and leasing programs to manufacturers and equipment distributors for their customers.",9,0.22238663473745107,0.050594036100468684,0.21513967326517017,-0.08263873318816538,0.10020674567141213
860748.0,GV_021503,21503,KMPR,USA,KEMPER CORP/DE,Financials,Insurance,Insurance,Property & Casualty Insurance,6331,524126,Direct Property and Casualty Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"Kemper Corporation, a diversified insurance holding company, provides property and casualty, and life and health insurance in the United States.",9,0.2578375964280211,0.0021314174550265998,-0.24831939636841818,0.07581090877971891,-0.22995751025254463
866213.0,GV_019625,19625,TMX,MEX,TELMEX-TELEFONOS DE MEXICO,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,4813,517110,Cable program distribution operators,Information,Telecommunications,"Teléfonos de México, S.A.B. de C.V., together with its subsidiaries, provides various communication services to government and private companies in Mexico. It offers Internet, voice, digital, Wi-Fi, and VPN private network connectivity services; network management services; and cybersecurity services.",9,0.09955920307030015,0.12078991013869642,0.19864260204454093,0.36215779881390064,0.046907800793220274
872448.0,GV_023767,23767,ATML,USA,ATMEL CORP,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Atmel Corporation designs, develops, manufactures, and sells semiconductor integrated circuit products worldwide.",9,-0.0055739626834097646,0.2041597154882611,0.07873875434307806,-0.5052138488537193,0.05291707121604884
