cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim
1714973,GV_031553,31553,KML.,CAN,KINDER MORGAN CANADA LIMITED,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,4610,486,Pipeline Transportation,Transportation and Warehousing,Pipeline Transportation,Kinder Morgan Canada Limited owns and operates pipeline systems and terminal facilities in Canada.,2,-0.5211575051539878,0.3753752711741531
1724670,GV_033439,33439,PRSP,USA,PERSPECTA INC,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,7370,541512,Computer Systems Design Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Perspecta Inc. provides enterprise information technology (IT) services to government customers in the United States federal, state, and local markets.",2,-0.5163333218400185,0.3737282974184021
1730168,GV_180711,180711,AVGO,USA,BROADCOM INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Broadcom Inc. designs, develops, and supplies a range of semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V based products worldwide.",2,-0.5074856377227394,0.372691444053541
1732845,GV_029830,29830,WRK,USA,WESTROCK CO,Materials,Materials,Containers & Packaging,Paper Packaging,2650,322211,Corrugated and Solid Fiber Box Manufacturing,Manufacturing,Paper Manufacturing,"WestRock Company manufactures and sells paper and packaging solutions for the consumer and corrugated markets in North America, South America, Europe, Asia, and Australia.",2,-0.514091823116961,0.39203856482353744
3116,GV_014304,14304,AKRX,USA,AKORN INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,2834,325412,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Akorn, Inc., a specialty pharmaceutical company, develops, manufactures, and markets generic and branded prescription pharmaceuticals, over-the-counter (OTC) consumer health products, and animal health pharmaceuticals in the United States and internationally.",4,0.1940003251920845,-0.028769046591095665
3453,GV_001254,1254,MATX,USA,MATSON INC,Industrials,Transportation,Marine,Marine,4400,483113,Coastal and Great Lakes Freight Transportation,Transportation and Warehousing,Water Transportation,"Matson, Inc., together with its subsidiaries, provides ocean transportation and logistics services.",4,0.10927844671782377,0.07674447399820501
3673,GV_001279,1279,AYE,USA,ALLEGHENY ENERGY INC,Utilities,Utilities,Electric Utilities,Electric Utilities,4911,2211,"Electric Power Generation, Transmission and Distribution",Utilities,Utilities,"As of January 1, 2014, Allegheny Energy Inc. was acquired by FirstEnergy Corp. Allegheny Energy, Inc. owns & operates electric generation facilities & delivers electric services to customers in Pennsylvania, West Virginia, Maryland & Virginia.",4,0.5705309746775115,0.2934929018156229
4127,GV_001327,1327,SWKS,USA,SKYWORKS SOLUTIONS INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products, including intellectual property worldwide.",4,-0.1369795004590811,0.03408035951636315
5272,GV_001487,1487,AIG,USA,AMERICAN INTERNATIONAL GROUP,Financials,Insurance,Insurance,Multi-line Insurance,6331,524126,Direct Property and Casualty Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"American International Group, Inc. provides insurance products for commercial, institutional, and individual customers in North America and internationally.",4,0.5190411403579198,-0.0563659607769646
5513,GV_012726,12726,UNM,USA,UNUM GROUP,Financials,Insurance,Insurance,Life & Health Insurance,6321,524114,Direct Health and Medical Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"Unum Group, together with its subsidiaries, provides financial protection benefit solutions in the United States, the United Kingdom, Poland, and internationally.",4,0.4372893222723575,-0.2072491073086384
