cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
1598428,GV_020011,20011,TMST,USA,TIMKENSTEEL CORP,Materials,Materials,Metals & Mining,Steel,3312,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Manufacturing,Primary Metal Manufacturing,"TimkenSteel Corporation manufactures and sells alloy steel, and carbon and micro-alloy steel products worldwide.",8,-0.28458413917038167,0.14424752608164476,0.18352889850729612,0.47157334734703754,0.4487529114920509
1618921,GV_011264,11264,WBA,USA,WALGREENS BOOTS ALLIANCE INC,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Drug Retail,5912,446110,Pharmacies and Drug Stores,Retail Trade,Health and Personal Care Stores,"Walgreens Boots Alliance, Inc. operates as a pharmacy-led health and wellbeing company.",8,-0.02201410912856366,0.7288903651813737,0.2694878913075495,-0.3242055716262262,-0.3309262266439372
1620546,GV_022734,22734,BXLT,USA,BAXALTA INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,2836,325414,Biological Product (except Diagnostic) Manufacturing,Manufacturing,Chemical Manufacturing,"Baxalta Incorporated, a biopharmaceutical company, develops, manufactures, and markets products for the treatment of hemophilia, immunology, and oncology.",8,-0.3090734818462982,0.25492547575709223,0.08373564774121485,0.265038707420349,0.3459960732907166
1622194,GV_022674,22674,DEA,USA,EASTERLY GOVERNMENT PPTYS,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Office REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"Easterly Government Properties, Inc. (NYSE:DEA) is based in Washington, D.C., and focuses primarily on the acquisition, development and management of Class A commercial properties that are leased to the U.S. Government.",8,-0.05365394965983693,0.6750386662013167,0.19161241519247807,-0.22429964168253674,-0.098090008449897
1622536,GV_156676,156676,TLN,USA,TALEN ENERGY CORP,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders,4911,2211,"Electric Power Generation, Transmission and Distribution",Utilities,Utilities,"Talen Energy Corporation, through its subsidiary, Talen Energy Supply, operates as an energy and power generation and marketing company in North America.",8,-0.3090734818462982,0.25492547575709223,0.08373564774121485,0.265038707420349,0.3459960732907166
1629995,GV_023827,23827,CPGX,USA,COLUMBIA PIPELINE GROUP INC,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,4922,486210,Pipeline Transportation of Natural Gas,Transportation and Warehousing,Pipeline Transportation,"Columbia Pipeline Group, Inc., together with its subsidiaries, owns, operates, and develops a portfolio of pipelines, storage, and related midstream assets.",8,-0.3090734818462982,0.25492547575709223,0.08373564774121485,0.265038707420349,0.3459960732907166
1639300,GV_024076,24076,OLLI,USA,OLLIE'S BARGAIN OUTLET HLDGS,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,5331,452319,All Other General Merchandise Stores,Retail Trade,General Merchandise Stores,"Ollie's Bargain Outlet Holdings, Inc. operates as a retailer of brand name merchandise.",8,-0.5079785441828872,0.19587340121888336,-0.11374246696100469,0.06948131062463563,0.262574215427605
1650132,GV_026410,26410,FCPT,USA,FOUR CORNERS PROPERTY TR INC,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Specialized REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"FCPT, headquartered in Mill Valley, CA, is a real estate investment trust primarily engaged in the acquisition and leasing of restaurant properties.",8,-0.21993207980949056,0.2792364431263593,0.17309354171355618,0.3525306645489144,0.4112128115714053
1670541,GV_027333,27333,ADNT,IRL,ADIENT PLC,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment,2531,336360,Motor Vehicle Seating and Interior Trim Manufacturing,Manufacturing,Transportation Equipment Manufacturing,"Adient plc designs, manufactures, and markets a range of seating systems and components for passenger cars, commercial vehicles, and light trucks.",8,-0.5748133786079733,0.24407339823010554,-0.1933512970729443,-0.14683428212192706,0.07595685247781538
1677761,GV_028379,28379,PKY,USA,PARKWAY INC,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Office REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"As of October 12, 2017 Parkway, Inc. is acquired by Canada Pension Plan Investment Board.",8,-0.37041717740226876,0.30398296750299775,-0.013725560767016868,0.025106799264979,0.2199796578621379
1679273,GV_028790,28790,LW,USA,LAMB WESTON HOLDINGS INC,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,2030,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Manufacturing,Food Manufacturing,"Lamb Weston Holdings, Inc. produces, distributes, and markets value-added frozen potato products worldwide.",8,-0.3974295065033699,0.4490856808614926,-0.04772678143297696,-0.31807416354758755,-0.19122750225594398
1711269,GV_006338,6338,EVRG,USA,EVERGY INC,Utilities,Utilities,Electric Utilities,Electric Utilities,4931,22111,Electric Power Generation,Utilities,Utilities,"Evergy, Inc., through its subsidiaries, engages in the generation, transmission, distribution, and sale of electricity in Kansas and Missouri.",8,-0.3974295065033699,0.4490856808614926,-0.04772678143297696,-0.31807416354758755,-0.19122750225594398
1723089,GV_033326,33326,APY,USA,APERGY CORP,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,3533,333132,Oil and Gas Field Machinery and Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"Apergy Corporation, together with its subsidiaries, provides engineered equipment and technologies that help companies drill for and produce oil and gas worldwide.",8,-0.3974295065033699,0.4490856808614926,-0.04772678143297696,-0.31807416354758755,-0.19122750225594398
1724965,GV_017228,17228,TALO,USA,TALOS ENERGY INC,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,1311,211120,Crude Petroleum Extraction,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,"Talos Energy Inc., an independent exploration and production company, focuses on the exploration and production of oil and natural gas properties in the United States Gulf of Mexico and offshore Mexico. The company was founded in 2011 and is based in Houston, Texas.",8,-0.3974295065033699,0.4490856808614926,-0.04772678143297696,-0.31807416354758755,-0.19122750225594398
1728951,GV_033684,33684,EPRT,USA,ESSENTIAL PPT RLTY TST,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Diversified REITs,6798,5311,Lessors of Real Estate,Real Estate and Rental and Leasing,Real Estate,"Essential Properties Realty Trust, Inc., a real estate company, acquires, owns, and manages single-tenant properties in the United States.",8,-0.3974295065033699,0.4490856808614926,-0.04772678143297696,-0.31807416354758755,-0.19122750225594398
