cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim
1158967.0,GV_221821,221821,NJDCY,JPN,NIDEC CORP,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment,3621,335312,Motor and Generator Manufacturing,Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing","Nidec Corporation, together with its subsidiaries, designs, develops, produces, and sells motors and other electronic products in Japan, the United States, Singapore, Thailand, Germany, China, and internationally.",2,0.0020082076706448423,-0.13812561559023145
1159297.0,GV_011446,11446,MWV,USA,MEADWESTVACO CORP,Materials,Materials,Containers & Packaging,Paper Packaging,2631,322130,Paperboard Mills,Manufacturing,Paper Manufacturing,"WestRock MWV, LLC provides packaging solutions to the healthcare, beauty and personal care, food, beverage, home and garden, tobacco, and agricultural industries worldwide.",2,0.5368368422464977,0.025189414645536482
1162461.0,GV_146648,146648,CUTR,USA,CUTERA INC,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3845,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Cutera, Inc., a medical device company, designs, develops, manufactures, markets, and services laser and other energy based aesthetics systems worldwide.",2,0.08731767389835489,-0.00026172993420695505
1164727.0,GV_007881,7881,NEM,USA,NEWMONT CORP,Materials,Materials,Metals & Mining,Gold,1040,212221,Gold Ore Mining,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),"Newmont Corporation engages in the production and exploration of gold, copper, silver, zinc, and lead.",2,0.5636211100298912,0.5679378839071332
1164771.0,GV_107637,107637,NDM.,CAN,NORTHERN DYNASTY MINERAL LTD,Materials,Materials,Metals & Mining,Diversified Metals & Mining,1000,2122,Metal Ore Mining,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Northern Dynasty Minerals Ltd. engages in the exploration of mineral properties in the United States.,2,0.08144990715065563,0.11656844225509523
1165231.0,GV_158791,158791,PKT,USA,PROCERA NETWORKS INC,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,3576,334210,Telephone Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,Sandvine Corporation designs and sells subscriber experience assurance solutions based on deep packet inspection (DPI) technology to network operators worldwide.,2,0.43128405766667405,0.306955746194932
1170991.0,GV_176268,176268,DCT,USA,DCT INDUSTRIAL TRUST INC,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Industrial REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"DCT Industrial is a leading logistics real estate company specializing in the ownership, development, acquisition, leasing and management of bulk-distribution and light-industrial properties in high-demand distribution markets in the United States.",2,0.5144423853199739,-0.20493932042948093
1173382.0,GV_002526,2526,CAE.,CAN,CAE INC,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3690,333318,Other Commercial and Service Industry Machinery Manufacturing,Manufacturing,Machinery Manufacturing,"CAE Inc., together with its subsidiaries, provides training solutions for the civil aviation, defence and security, and healthcare markets worldwide.",2,0.06561324101631501,-0.2687151010434593
1173420.0,GV_020600,20600,NG.,CAN,NOVAGOLD RESOURCES LTD,Materials,Materials,Metals & Mining,Gold,1040,21222,Gold Ore and Silver Ore Mining,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),NovaGold Resources Inc. primarily explores for and develops gold mineral properties in the United States.,2,0.6016161870514816,0.44562749958732584
1173489.0,GV_135788,135788,CEVA,USA,CEVA INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,6794,533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),Real Estate and Rental and Leasing,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"CEVA, Inc. licenses signal processing platforms and artificial intelligence processors for semiconductor companies and original equipment manufacturers (OEMs) serving the mobile, consumer, automotive, industrial, and Internet-of-Things (IoT) markets worldwide.",2,0.018290229015005297,-0.20363402001068207
